City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,haiku-pauwela,20.9219,-156.3051,77.04,87,40,10.36,US,1720634827
344,port lincoln,-34.7333,135.8667,58.89,69,100,22.12,AU,1720635035
345,zaozersk,69.4005,32.4476,55.76,65,93,5.55,RU,1720635037
346,surin,14.8818,103.4936,77.09,90,100,9.93,TH,1720635038
347,yonggang-up,38.8561,125.4244,69.44,94,1,1.59,KP,1720635040
348,broken hill,-31.95,141.4333,50.05,72,100,16.44,AU,1720635041
349,charters towers,-20.1,146.2667,60.76,93,14,6.22,AU,1720635042
350,gizo,-8.103,156.8419,80.71,81,89,4.97,SB,1720635044
351,chukhloma,58.7525,42.6825,63.88,61,74,3.91,RU,1720635045
352,zheshart,62.0731,49.5733,63.9,64,53,6.22,RU,1720635047
353,puerto aysen,-45.4,-72.7,41.56,100,100,1.48,CL,1720635013
354,sakakah,29.9697,40.2064,99.97,12,0,11.79,SA,1720635050
355,kurud,20.8322,81.7214,81.97,78,99,7.4,IN,1720635051
356,lincoln city,44.9582,-124.0179,71.69,63,8,10.0,US,1720635053
357,nivala,63.9167,24.9667,63.88,65,79,1.9,FI,1720635055
358,mao,39.8885,4.2658,81.16,69,0,6.91,ES,1720634970
359,mount isa,-20.7333,139.5,55.17,47,1,8.05,AU,1720635060
360,zhicheng,30.2956,111.5047,75.11,93,100,1.74,CN,1720635061
361,ketchikan,55.3422,-131.6461,56.34,94,100,7.7,US,1720635063
362,pochinki,54.6988,44.8668,67.87,81,43,10.51,RU,1720635065
363,turgutlu,38.4953,27.6997,83.12,46,67,8.03,TR,1720635066
364,kenora,49.8167,-94.4337,77.77,50,0,5.99,CA,1720635019
